size,seed,train,test,auc,acc
1200,43,960,240,0.8978472222222222,0.825
1200,44,958,242,0.8494638344375385,0.7851239669421488
1200,45,960,240,0.9210416666666666,0.8708333333333333
1200,46,960,240,0.8884722222222222,0.8125
1200,47,960,240,0.8262499999999999,0.7791666666666667
1200,48,960,240,0.8986805555555555,0.8416666666666667
1200,49,960,240,0.8444444444444444,0.7708333333333334
1200,50,960,240,0.7394444444444445,0.6666666666666666
1200,51,960,240,0.9144444444444444,0.825
1200,52,960,240,0.9192361111111113,0.8875
1200,53,960,240,0.7231944444444444,0.6708333333333333
1500,42,1200,300,0.9456444444444444,0.8633333333333333
1500,43,1200,300,0.7739555555555556,0.6666666666666666
1500,44,1200,300,0.9164444444444444,0.8433333333333334
1500,45,1200,300,0.9250222222222224,0.85
1500,46,1200,300,0.9441777777777778,0.8866666666666667
1500,47,1200,300,0.9468444444444446,0.8766666666666667
1500,48,1200,300,0.9362666666666666,0.8633333333333333
1500,49,1200,300,0.8914666666666666,0.83
1500,50,1200,300,0.7416444444444444,0.5533333333333333
1500,51,1200,300,0.8923555555555556,0.8033333333333333
1500,52,1200,300,0.9259555555555556,0.86
1500,53,1200,300,0.7210222222222222,0.6333333333333333
1900,42,1520,380,0.9186149584487534,0.8315789473684211
1900,43,1518,382,0.7669745895123489,0.6910994764397905
1900,44,1520,380,0.7790027700831025,0.7236842105263158
1900,45,1520,380,0.9451523545706372,0.868421052631579
1900,46,1520,380,0.93595567867036,0.8552631578947368
1900,47,1520,380,0.9285595567867037,0.8394736842105263
1900,48,1518,382,0.9477262136454592,0.8743455497382199
1900,49,1520,380,0.9336842105263158,0.8578947368421053
1900,50,1520,380,0.938836565096953,0.8736842105263158
1900,51,1520,380,0.9321883656509696,0.8605263157894737
1900,52,1520,380,0.93595567867036,0.8710526315789474
1900,53,1520,380,0.7372299168975068,0.7026315789473684
2400,42,1920,480,0.9236631944444444,0.8395833333333333
2400,43,1920,480,0.9499305555555556,0.88125
2400,44,1920,480,0.9327604166666666,0.8625
2400,45,1920,480,0.9494097222222222,0.8666666666666667
2400,46,1920,480,0.9315104166666668,0.8541666666666666
2400,47,1920,480,0.92453125,0.8291666666666667
2400,48,1920,480,0.9453298611111112,0.86875
2400,49,1920,480,0.9427430555555556,0.8708333333333333
2400,50,1920,480,0.9396875,0.8583333333333333
2400,51,1920,480,0.9245833333333332,0.85
2400,52,1920,480,0.9396180555555556,0.8604166666666667
2400,53,1920,480,0.9035416666666668,0.8145833333333333
3000,42,2400,600,0.9370444444444443,0.8616666666666667
3000,43,2398,602,0.9360492709793488,0.8637873754152824
3000,44,2400,600,0.9346555555555556,0.8483333333333334
3000,45,2400,600,0.9605666666666668,0.8983333333333333
3000,46,2400,600,0.9459333333333332,0.8733333333333333
3000,47,2400,600,0.938677777777778,0.8566666666666667
3000,48,2400,600,0.9338666666666666,0.84
3000,49,2400,600,0.9226555555555556,0.85
3000,50,2400,600,0.9551333333333332,0.8683333333333333
3000,51,2400,600,0.9220222222222222,0.8416666666666667
3000,52,2400,600,0.943,0.8616666666666667
3000,53,2400,600,0.9413666666666666,0.8633333333333333
3800,42,3040,760,0.936253462603878,0.8592105263157894
3800,43,3040,760,0.9258171745152356,0.8644736842105263
3800,44,3040,760,0.9388988919667588,0.8723684210526316
3800,45,3040,760,0.9379986149584488,0.8631578947368421
3800,46,3040,760,0.9412880886426592,0.8802631578947369
3800,47,3040,760,0.9302008310249308,0.8578947368421053
3800,48,3040,760,0.9513227146814404,0.8921052631578947
3800,49,3040,760,0.954286703601108,0.8986842105263158
3800,50,3040,760,0.9384626038781164,0.8763157894736842
3800,51,3040,760,0.9418836565096952,0.875
3800,52,3040,760,0.95095567867036,0.8789473684210526
3800,53,3040,760,0.9366759002770082,0.85
4700,42,3758,942,0.952745434793388,0.8800424628450106
4700,43,3760,940,0.934341330918968,0.8702127659574468
4700,44,3760,940,0.9452874603893164,0.8808510638297873
4700,45,3758,942,0.9483864569669268,0.8789808917197452
4700,46,3760,940,0.9475418741511996,0.8808510638297873
4700,47,3760,940,0.957763693979176,0.8829787234042553
4700,48,3752,948,0.945054211397746,0.8713080168776371
4700,49,3760,940,0.9484744228157538,0.874468085106383
4700,50,3760,940,0.9440968764146672,0.874468085106383
4700,51,3760,940,0.945789950203712,0.8787234042553191
4700,52,3760,940,0.9525758261656858,0.8861702127659574
4700,53,3760,940,0.9576459936622906,0.9
5800,42,4640,1160,0.9486801426872772,0.8810344827586207
5800,43,4640,1160,0.9636504161712248,0.8939655172413793
5800,44,4640,1160,0.9629577883472058,0.8922413793103449
5800,45,4640,1160,0.9526278240190248,0.8931034482758621
5800,46,4640,1160,0.9571640903686088,0.8896551724137931
5800,47,4640,1160,0.9516394173602856,0.8982758620689655
5800,48,4640,1160,0.9311340665873958,0.8568965517241379
5800,49,4640,1160,0.9590933412604042,0.8879310344827587
5800,50,4640,1160,0.935434007134364,0.875
5800,51,4640,1160,0.9479845422116528,0.8853448275862069
5800,52,4640,1160,0.9542835909631392,0.881896551724138
5800,53,4640,1160,0.9542449464922712,0.8862068965517241
7000,42,5602,1398,0.9503848743657912,0.8748211731044349
7000,43,5600,1400,0.952669387755102,0.8792857142857143
7000,44,5600,1400,0.954030612244898,0.8785714285714286
7000,45,5600,1400,0.958022448979592,0.8878571428571429
7000,46,5598,1402,0.9615466797991864,0.8944365192582026
7000,47,5600,1400,0.9605,0.8992857142857142
7000,48,5600,1400,0.9557734693877552,0.8864285714285715
7000,49,5600,1400,0.9564428571428572,0.8871428571428571
