model,true_label,pred_prob,shap_cdr3_length,shap_cdr3_pi,shap_cdr3_charge,shap_cdr3_hydrophobicity,shap_cdr3_aromaticity,shap_cdr3_instability,shap_cdr3_frac_charged,shap_cdr3_frac_hydrophobic,shap_cdr3_D,shap_cdr3_E,shap_cdr3_R,shap_cdr3_K,shap_cdr3_H,shap_cdr3_W,shap_cdr3_Y,shap_cdr3_F,shap_cdr3_G,shap_cdr3_P,shap_cdr3_C,shap_vh_length,shap_vh_cdr3_length_ratio,shap_vh_charge,shap_vh_hydrophobicity,fval_cdr3_length,fval_cdr3_pi,fval_cdr3_charge,fval_cdr3_hydrophobicity,fval_cdr3_aromaticity,fval_cdr3_instability,fval_cdr3_frac_charged,fval_cdr3_frac_hydrophobic,fval_cdr3_D,fval_cdr3_E,fval_cdr3_R,fval_cdr3_K,fval_cdr3_H,fval_cdr3_W,fval_cdr3_Y,fval_cdr3_F,fval_cdr3_G,fval_cdr3_P,fval_cdr3_C,fval_vh_length,fval_vh_cdr3_length_ratio,fval_vh_charge,fval_vh_hydrophobicity
XGBoost-biophysical,1,,0.2685564756393432,-0.7790687084197998,-0.4603835642337799,0.6302849650382996,0.7679165005683899,0.1469865441322326,0.0911403894424438,0.2671893835067749,-0.2696686089038849,-0.0038950780872255,-0.0277031175792217,0.0821786597371101,-0.0182570833712816,1.1774940490722656,-0.0155946463346481,0.0456833876669406,0.2181894928216934,-0.1948343217372894,0.0,0.3628039956092834,0.2551060020923614,0.2871492803096771,0.0852445587515831,13.0,10.098999977111816,1.0008000135421753,-0.092299997806549,0.2308000028133392,50.737998962402344,0.2308000028133392,0.3077000081539154,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,119.0,9.153800010681152,2.007200002670288,-0.122699998319149
XGBoost-biophysical,0,,-0.5659931898117065,-1.744312405586243,-1.4340378046035769,-0.3691593706607818,-1.2477420568466189,0.2519166469573974,-0.0195074491202831,0.0501193441450595,-0.2523727118968963,-0.0167161244899034,-0.8078704476356506,0.0365550965070724,-0.0139403296634554,-2.3225600719451904,0.1190573796629905,-0.0124907474964857,0.075090616941452,0.1902599185705185,0.0,-0.3624514043331146,-0.6088035106658936,-0.8056332468986511,0.2396073937416076,19.0,12.5,3.0007998943328857,-1.031599998474121,0.421099990606308,37.874000549316406,0.2632000148296356,0.3684000074863434,1.0,0.0,4.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,127.0,6.684199810028076,6.007599830627441,-0.4165000021457672
XGBoost-biophysical,0,,-0.3787585496902466,-0.279460996389389,-0.2829037606716156,-0.0417767725884914,-0.6435418725013733,-0.1081794053316116,-0.083952359855175,0.1501656621694564,0.035460177809,-0.0005948693724349,-0.20094695687294,0.0474161393940448,-0.0158010367304086,-2.5369036197662354,0.1036049202084541,0.0189356748014688,-0.0921321734786033,-0.322354644536972,0.0,-0.1250311434268951,-0.4428691267967224,0.0057389326393604,0.0227462239563465,15.0,6.11899995803833,0.0015999999595806,-0.6000000238418579,0.3332999944686889,58.14699935913086,0.2666999995708465,0.3332999944686889,2.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,121.0,8.066699981689453,1.0078999996185305,-0.1711000055074691
XGBoost-biophysical,1,,-0.2252577543258667,0.6378410458564758,0.4047484099864959,0.6841667890548706,-0.3871420323848724,-0.1385276615619659,-0.0643533021211624,0.0891728177666664,0.1157076209783554,0.0399545952677726,0.1717278808355331,0.0576954148709774,-0.0020332620479166,1.2810949087142944,0.4277910888195038,0.0011204299516975,0.2066298872232437,0.3137354254722595,0.0,-0.1184604987502098,-0.226844236254692,0.0245795268565416,0.0371630229055881,15.0,3.997999906539917,-0.9983999729156494,-0.2732999920845032,0.3332999944686889,58.14699935913086,0.2000000029802322,0.3332999944686889,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,121.0,8.066699981689453,0.0078999996185302,-0.1306000053882599
XGBoost-biophysical,0,,0.0229274965822696,-2.160651683807373,-1.8533389568328855,-0.3230721652507782,0.4064412713050842,0.0414654538035392,0.093793474137783,0.4617558419704437,-0.3566967248916626,-0.015668848529458,-0.0837751477956771,-1.4233766794204712,-0.0255295578390359,0.8228676915168762,-0.0148402377963066,0.0073843938298523,0.1265086680650711,-0.1730614006519317,0.0,0.1515479981899261,0.0352459289133548,-0.8766242861747742,0.3906632959842682,14.0,11.335000038146973,2.000499963760376,-1.107100009918213,0.2143000066280365,47.82899856567383,0.2856999933719635,0.1429000049829483,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,120.0,8.571399688720703,3.0069000720977783,-0.240799993276596
XGBoost-biophysical,1,,-0.7672365307807922,0.3379088342189789,0.1680117547512054,-0.3022208213806152,0.3389040231704712,0.3118670582771301,0.0668029636144638,0.1414898931980133,0.3776005208492279,0.0344446338713169,-0.0389631241559982,0.0557764954864978,0.0014304523356258,1.173580288887024,-0.0189256519079208,0.0911533012986183,-0.1406497657299041,0.2710248827934265,0.0,-0.215787798166275,-0.83482825756073,0.2298995107412338,0.4724153578281402,18.0,4.244999885559082,-0.9976000189781188,-0.8443999886512756,0.2222000062465667,39.422000885009766,0.2777999937534332,0.2777999937534332,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,124.0,6.888899803161621,0.0087999999523162,-0.2305999994277954
XGBoost-biophysical,1,,-0.2409144341945648,-0.0979428812861442,-0.1711551547050476,0.6310971975326538,0.9428381323814392,-0.3175568580627441,0.0091646891087293,0.2916478514671325,0.1075877919793129,0.029247622936964,-0.0689910054206848,0.0624707303941249,0.0228828098624944,1.3195406198501587,-0.0576400384306907,0.0737422108650207,0.1510260254144668,-0.2419782727956771,0.0,-0.2853288352489471,-0.2287948578596115,0.439028799533844,0.0282708369195461,16.0,7.004000186920166,0.0925000011920929,-0.0562999993562698,0.125,67.17500305175781,0.3125,0.375,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,122.0,7.625,1.0988999605178833,-0.1172000020742416
XGBoost-biophysical,1,,0.2637945115566253,-0.8382732272148132,-0.4793528616428375,0.5701242089271545,0.7093426585197449,0.1620633155107498,0.0599371753633022,0.2883612811565399,-0.2643050253391266,-0.0080104721710085,-0.0359083004295825,0.0812835395336151,-0.013577627018094,1.1664539575576782,-0.0339446514844894,0.0456835515797138,-0.2031561732292175,-0.217547133564949,0.0,0.3805367946624756,0.2525181174278259,0.297461599111557,0.0477944612503051,13.0,10.098999977111816,1.0008000135421753,-0.092299997806549,0.2308000028133392,50.737998962402344,0.2308000028133392,0.3077000081539154,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,119.0,9.153800010681152,2.007200002670288,-0.122699998319149
XGBoost-biophysical,0,,0.0347835384309291,-2.0453083515167236,-1.677067756652832,-0.1816512644290924,-0.1757808625698089,-0.4364606738090515,-0.0337112434208393,0.2282805442810058,-0.3095214068889618,-0.0418486706912517,-1.0227574110031128,0.0473943836987018,-0.0308616962283849,-1.5936235189437866,-0.0311470441520214,-0.0049895253032445,-0.0300737470388412,0.1991752833127975,0.0,0.199115052819252,-0.0570422112941741,-0.975334107875824,0.059806004166603,14.0,12.5,3.0007998943328857,-1.3214000463485718,0.2856999933719635,102.5,0.3571000099182129,0.3571000099182129,1.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,120.0,8.571399688720703,4.0071001052856445,-0.2517000138759613
XGBoost-biophysical,1,,-0.1627887785434723,0.4677417576313019,0.3487972617149353,0.048757679760456,0.771213710308075,0.2310249954462051,0.0578951649367809,0.2665599286556244,0.1414417326450348,0.020629646256566,-0.0254517775028944,0.0639460980892181,0.0201775096356868,1.145690679550171,-0.1084624528884887,0.0213477909564971,-0.1500207334756851,0.2190878242254257,0.0,-0.1166493445634841,-0.1728200018405914,0.3924832642078399,0.3975035846233368,16.0,4.045000076293945,-1.99590003490448,-0.5687999725341797,0.125,43.099998474121094,0.375,0.375,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,121.0,7.5625,0.0988000035285949,-0.262800008058548
