model,true_label,pred_prob,shap_cdr3_length,shap_cdr3_pi,shap_cdr3_charge,shap_cdr3_hydrophobicity,shap_cdr3_aromaticity,shap_cdr3_instability,shap_cdr3_frac_charged,shap_cdr3_frac_hydrophobic,shap_cdr3_D,shap_cdr3_E,shap_cdr3_R,shap_cdr3_K,shap_cdr3_H,shap_cdr3_W,shap_cdr3_Y,shap_cdr3_F,shap_cdr3_G,shap_cdr3_P,shap_cdr3_C,shap_vh_length,shap_vh_cdr3_length_ratio,shap_vh_charge,shap_vh_hydrophobicity,fval_cdr3_length,fval_cdr3_pi,fval_cdr3_charge,fval_cdr3_hydrophobicity,fval_cdr3_aromaticity,fval_cdr3_instability,fval_cdr3_frac_charged,fval_cdr3_frac_hydrophobic,fval_cdr3_D,fval_cdr3_E,fval_cdr3_R,fval_cdr3_K,fval_cdr3_H,fval_cdr3_W,fval_cdr3_Y,fval_cdr3_F,fval_cdr3_G,fval_cdr3_P,fval_cdr3_C,fval_vh_length,fval_vh_cdr3_length_ratio,fval_vh_charge,fval_vh_hydrophobicity
XGBoost-biophysical,0,,0.0082080541178584,-1.178960204124451,-3.0283102989196777,-0.9046418070793152,0.0448032319545745,-0.2876882553100586,-0.6963604092597961,0.035924095660448,-0.0156565271317958,-0.0039795516058802,-0.4336349070072174,-0.012833522632718,0.0017605909379199,-0.1718793958425521,-0.0133329052478075,0.0043736663646996,0.0026574358344078,0.0022531973663717,0.0,-0.0674892663955688,0.1262785047292709,-0.4324966669082641,0.0188267193734645,14.0,12.5,3.0007998943328857,-1.492900013923645,0.2143000066280365,47.82899856567383,0.3571000099182129,0.3571000099182129,1.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,120.0,8.571399688720703,4.007199764251709,-0.2858000099658966
XGBoost-biophysical,1,,-0.0119429621845483,0.4392152726650238,1.3583284616470337,0.4415963590145111,0.2519808113574981,-0.005349556915462,0.1583355367183685,-0.0113508207723498,-0.071767471730709,-0.018833938986063,0.09799425303936,-0.0025844865012913,0.0001650159247219,0.1637365967035293,-0.0241501964628696,-0.0083598969504237,-0.0281065981835126,-0.0029486462008208,0.0,0.0036128922365605,0.0616755075752735,0.0669871196150779,0.183167815208435,16.0,5.13100004196167,-0.9075000286102296,0.0186999998986721,0.1875,43.099998474121094,0.25,0.4375,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,122.0,7.625,0.1004000008106231,-0.2442999929189682
XGBoost-biophysical,1,,0.1519208997488021,0.4200277626514435,1.2781368494033811,-0.1403577625751495,-0.0790848731994628,0.0677845403552055,0.1568011790513992,-0.0014158681733533,0.045037392526865,-0.0079540768638253,0.0679340735077858,-0.0024925586767494,0.0028772805817425,0.1967915743589401,-0.0032693210523575,0.0143352784216403,0.0353673696517944,0.0352236628532409,0.0,0.136901319026947,0.7758705615997314,0.1929765939712524,-0.4283314049243927,10.0,5.98199987411499,0.0007999999797903,-0.3300000131130218,0.3000000119209289,62.959999084472656,0.2000000029802322,0.3000000119209289,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,116.0,11.600000381469728,1.007099986076355,-0.1292999982833862
XGBoost-biophysical,1,,-0.0065353410318493,0.4066375195980072,1.1968644857406616,-0.1387730985879898,0.1705465614795684,-0.0825002565979957,0.0445493683218956,0.0452335439622402,0.0331341810524463,-0.0104278977960348,0.0600907355546951,-0.0018588143866509,-0.0012105787172913,0.1669460535049438,-0.0204583741724491,0.0119118802249431,0.0304213892668485,-0.1380144953727722,0.0,-0.040290031582117,0.0463729314506053,-0.0522542409598827,-0.3682140111923218,15.0,5.98199987411499,0.0007999999797903,-0.4133000075817108,0.2000000029802322,58.14699935913086,0.1333000063896179,0.4000000059604645,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,121.0,8.066699981689453,1.007099986076355,-0.1479000002145767
XGBoost-biophysical,1,,0.0576165504753589,-0.1364205032587051,1.1677849292755127,0.1257801055908203,0.1135900020599365,-0.0105146439746022,0.147240862250328,0.0432841032743454,0.0747439414262771,-0.0060689803212881,0.0228269398212432,-0.0026833699084818,0.0033355853520333,0.2248472720384597,0.0212625693529844,0.0137659767642617,0.0300262942910194,0.0282856952399015,0.0,-0.0500478297472,0.128586396574974,0.1251193881034851,0.8402850031852722,13.0,10.098999977111816,1.0008000135421753,-1.1308000087738037,0.2308000028133392,50.737998962402344,0.2308000028133392,0.2308000028133392,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,119.0,9.153800010681152,2.0067999362945557,-0.3571000099182129
XGBoost-biophysical,0,,-0.041877269744873,-0.3038971722126007,0.8833939433097839,0.355175256729126,0.4671500921249389,-0.0603443309664726,0.1007912755012512,0.0033482594881206,-0.1262221783399582,-0.022152192890644,-0.2590841054916382,-0.0154074607416987,0.0011953465873375,0.3967382311820984,-0.0110883023589849,0.0198515336960554,-0.0315461419522762,0.0058353864587843,0.0,-0.0213520880788564,0.0057843611575663,-0.2111538648605346,-0.8456413745880127,16.0,10.010000228881836,1.0016000270843506,0.0687000006437301,0.125,55.13800048828125,0.3125,0.375,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,122.0,7.625,2.0078999996185303,-0.0869000032544136
XGBoost-biophysical,1,,0.0140042575076222,0.3932608067989349,1.2935171127319336,0.1006297096610069,-0.0225007198750972,-0.1049311757087707,0.1157807037234306,0.0830268859863281,0.0319007858633995,-0.0082580028101801,0.0832059830427169,0.0004145911079831,0.0006693385075777,-0.0872402712702751,0.0106960702687501,0.0044736587442457,0.1413744837045669,0.0098365917801857,0.0,-0.0431083850562572,0.1127977073192596,0.0461957640945911,0.7950295805931091,14.0,5.98199987411499,0.0007999999797903,-0.621399998664856,0.2856999933719635,47.82899856567383,0.1429000049829483,0.2856999933719635,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,120.0,8.571399688720703,1.0068000555038452,-0.3041999936103821
XGBoost-biophysical,1,,-0.0121030900627374,0.2565303146839142,1.3136547803878784,-0.0406858772039413,0.0436689332127571,-0.153634712100029,-0.1595613956451416,0.0841608345508575,-0.0696848109364509,-0.006452246569097,-0.0047314092516899,-0.0034702005796134,0.0032596329692751,0.2745996713638305,-0.0043577458709478,0.0206812508404254,0.0659044310450553,-0.0039130016230046,0.0,-0.0457380004227161,0.0846269354224205,0.2244890034198761,1.0713136196136477,14.0,6.11899995803833,0.0015999999595806,-0.3928999900817871,0.2143000066280365,47.82899856567383,0.2856999933719635,0.3571000099182129,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,120.0,8.571399688720703,1.007599949836731,-0.2775000035762787
XGBoost-biophysical,0,,-0.0040446994826197,-1.2388789653778076,-3.23986554145813,-0.5594505071640015,-0.0451396517455577,-0.1977642029523849,-0.7517284750938416,-0.0068318583071231,-0.0086651351302862,-0.0052322018891572,-0.2312544137239456,-0.0070101870223879,-0.0045339725911617,-0.1971080899238586,-0.0008272639825008,0.0050213770009577,-0.0012280802475288,0.0073963729664683,0.0,-0.0225236546248197,0.0139591721817851,-0.7749426960945129,-0.0865489095449447,16.0,12.5,3.0917000770568848,-1.1686999797821045,0.25,55.13800048828125,0.375,0.3125,1.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,122.0,7.625,4.098100185394287,-0.2630999982357025
XGBoost-biophysical,1,,0.1248411759734153,0.2988670468330383,1.0756293535232544,-0.1223672330379486,0.0750618353486061,0.8351463079452515,0.1234403848648071,-0.0011108621256425,-0.0433809757232666,-0.0018332956824451,-0.0100103858858346,-0.0086916433647274,0.0022999406792223,0.1834043264389038,-0.0006432475638575,0.0235196389257907,-0.1283512860536575,0.0178544931113719,0.0,-0.000197472050786,0.602948009967804,-0.0051871831528842,0.5270938277244568,12.0,6.11899995803833,0.0015999999595806,-1.0333000421524048,0.25,101.86699676513672,0.3332999944686889,0.3332999944686889,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,118.0,9.83329963684082,1.0094000101089478,-0.3601999878883362
